Date,vix,spx,vxx,vix_vol,vix_futures_f1,vix_futures_f2,term_structure,spx_ma50,spx_trend,vix_change,vix_ma10,market_state,market_state_smooth,ts_signal,vix_futures_vol,ts_position_size,ts_position,ts_returns,ts_signal_change,ts_returns_trade_cost,ts_returns_short_cost,ts_returns_net,etf_signal,hedge_ratio,etf_position,etf_returns,etf_signal_change,etf_returns_trade_cost,etf_returns_short_cost,etf_returns_net,ts_weight,etf_weight,ts_target_weight,etf_target_weight,dynamic_returns,equal_weight_returns
2014-09-23,14.93000030517578,1982.77001953125,,,15.431857366422609,16.161928036471224,0.9548277489912634,,0,,,2,2,0.0,,,,,,,0,,-1.0,0.6972000122070312,-0.6972000122070312,,,,5.9523809523809524e-05,,0.5,0.5,0.3,0.7,,
2014-09-24,13.270000457763672,1998.300048828125,,,13.537368284289895,14.116050837650564,0.9590053507162783,,0,-11.118551999202818,,2,2,0.0,,,,,0.0,0.0,0,,-1.0,0.6308000183105469,-0.6308000183105469,,0.0,0.0,5.9523809523809524e-05,,0.4,0.6,0.3,0.7,,
2014-09-25,15.640000343322754,1965.989990234375,,,16.181844595206964,16.817499649477536,0.9622027609621316,,0,17.859832734010972,,2,2,1.0,,,,,1.0,0.001,0,,-0.5,0.8256000137329101,-0.41280000686645507,,0.5,0.00075,2.9761904761904762e-05,,0.30000000000000004,0.7,0.3,0.7,,
2014-09-26,14.850000381469728,1982.8499755859373,,,15.869015290600254,16.36001785547255,0.9699876510398764,,0,-5.051150540353444,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.6940000152587891,-0.6940000152587891,,0.5,0.00075,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-09-29,15.979999542236328,1977.800048828125,,,16.063922877762845,16.547959511684184,0.9707494671122704,,0,7.609421762551927,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.8391999816894531,-0.8391999816894531,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-09-30,16.309999465942383,1972.2900390625,,,16.377431014170675,16.67065760275376,0.9824106165713196,,0,2.065080933412045,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.7523999786376953,-0.7523999786376953,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-01,16.709999084472656,1946.1600341796875,,,17.66410553800272,18.403677230203563,0.9598139174606322,,0,2.4524808806127174,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.7683999633789063,-0.7683999633789063,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-02,16.15999984741211,1946.1700439453125,,,16.73571721961796,17.364080619523317,0.9638124578160012,,0,-3.2914378647190934,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.7463999938964844,-0.7463999938964844,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-03,14.550000190734863,1967.9000244140625,,,14.587762988230644,15.173001532275403,0.961428953737343,,0,-9.96286925667932,,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.6820000076293945,-0.6820000076293945,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
2014-10-06,15.460000038146973,1964.8199462890625,,,15.958280058032608,16.279218006973313,0.980285419803136,,0,6.254294401944938,15.385999965667724,2,2,1.0,,,,,0.0,0.0,0,,-1.0,0.8184000015258789,-0.8184000015258789,,0.0,0.0,5.9523809523809524e-05,,0.3,0.7,0.3,0.7,,
